City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2021-12-04 15:52:50,-33.65,115.3333,64.09,73,0,13.67
1,Ushuaia,AR,2021-12-04 15:49:58,-54.8,-68.3,58.66,29,20,18.41
2,Koutsouras,GR,2021-12-04 15:52:50,35.0339,25.9469,66.11,66,67,13.96
3,Rapid City,US,2021-12-04 15:49:37,44.0805,-103.231,33.1,75,90,1.01
4,Soligalich,RU,2021-12-04 15:52:51,59.0778,42.2864,9.86,93,100,7.16
5,Vostok,RU,2021-12-04 15:52:51,46.4856,135.8833,-12.78,98,45,5.5
6,Scarborough,GB,2021-12-04 15:52:51,54.2797,-0.4044,41.52,87,71,5.01
7,Hay River,CA,2021-12-04 15:52:52,60.8156,-115.7999,-22.02,76,20,3.44
8,Codrington,AU,2021-12-04 15:52:52,-38.2667,141.9667,47.07,79,99,4.99
9,Hermanus,ZA,2021-12-04 15:52:52,-34.4187,19.2345,69.91,68,100,20.85
10,Barrow,US,2021-12-04 15:50:02,71.2906,-156.7887,8.62,78,90,14.97
11,Vila Franca Do Campo,PT,2021-12-04 15:52:53,37.7167,-25.4333,66.61,68,74,2.15
12,Miri,MY,2021-12-04 15:52:53,4.4148,114.0089,77.14,94,40,3.44
13,Chicama,PE,2021-12-04 15:52:54,-7.8447,-79.1469,64.94,61,93,8.68
14,Provideniya,RU,2021-12-04 15:52:54,64.3833,-173.3,15.8,70,21,13.35
15,Freeport,US,2021-12-04 15:48:30,40.6576,-73.5832,47.84,54,20,1.01
16,Batagay-Alyta,RU,2021-12-04 15:52:55,67.8006,130.4114,-26.32,98,100,2.75
17,Rikitea,PF,2021-12-04 15:49:16,-23.1203,-134.9692,75.43,73,48,13.56
18,Rafaela,AR,2021-12-04 15:52:55,-31.2503,-61.4867,88.05,45,100,1.01
19,Manaulanan,PH,2021-12-04 15:52:55,7.0481,124.6194,72.82,97,71,2.15
20,Tuktoyaktuk,CA,2021-12-04 15:52:56,69.4541,-133.0374,-23.8,76,1,6.91
21,Sao Joao Da Barra,BR,2021-12-04 15:52:57,-21.6403,-41.0511,80.69,74,34,10.11
22,Garbolovo,RU,2021-12-04 15:52:57,60.3413,30.4955,18.32,94,100,7.63
23,Avarua,CK,2021-12-04 15:52:58,-21.2078,-159.775,73.45,100,100,1.14
24,Nabire,ID,2021-12-04 15:52:58,-3.3667,135.4833,75.25,96,100,2.57
25,Albany,US,2021-12-04 15:52:59,42.6001,-73.9662,37.81,67,68,3.6
26,Cidreira,BR,2021-12-04 15:52:59,-30.1811,-50.2056,73.29,73,60,17.74
27,Santo Antonio Do Monte,BR,2021-12-04 15:53:00,-20.0872,-45.2936,73.26,68,92,3.11
28,Qaanaaq,GL,2021-12-04 15:53:00,77.484,-69.3632,0.25,65,72,8.39
29,Ponta Do Sol,PT,2021-12-04 15:53:01,32.6667,-17.1,67.12,58,93,9.73
30,Vaini,TO,2021-12-04 15:53:02,-21.2,-175.2,78.96,94,40,6.91
31,Bridlington,GB,2021-12-04 15:53:02,54.0831,-0.1919,41.9,82,86,15.43
32,Sinnamary,GF,2021-12-04 15:53:03,5.3833,-52.95,77.41,89,100,4.85
33,Ribeira Grande,PT,2021-12-04 15:53:03,38.5167,-28.7,63.0,94,75,4.61
34,Punta Arenas,CL,2021-12-04 15:53:03,-53.15,-70.9167,59.11,58,75,27.63
35,Cape Town,ZA,2021-12-04 15:48:54,-33.9258,18.4232,73.81,60,20,7.0
36,Castro,BR,2021-12-04 15:53:04,-24.7911,-50.0119,78.76,40,2,4.03
37,Eenhana,NA,2021-12-04 15:53:04,-17.4667,16.3333,81.59,45,88,13.27
38,Hobart,AU,2021-12-04 15:53:05,-42.8794,147.3294,45.05,77,90,6.91
39,Tezu,IN,2021-12-04 15:53:05,27.9167,96.1667,66.43,57,81,3.78
40,Cherepovets,RU,2021-12-04 15:53:06,59.1333,37.9,4.82,85,0,8.95
41,Kavaratti,IN,2021-12-04 15:53:06,10.5669,72.642,82.0,74,8,5.86
42,Dhone,IN,2021-12-04 15:53:06,15.4167,77.8833,77.83,62,68,1.1
43,Lorengau,PG,2021-12-04 15:53:07,-2.0226,147.2712,82.54,81,99,17.31
44,Mar Del Plata,AR,2021-12-04 15:53:08,-38.0023,-57.5575,60.82,80,40,11.01
45,Yellowknife,CA,2021-12-04 15:53:08,62.456,-114.3525,-27.71,76,1,3.0
46,Paraiso,CR,2021-12-04 15:48:26,9.8383,-83.8656,74.26,66,49,6.4
47,Butaritari,KI,2021-12-04 15:53:09,3.0707,172.7902,82.49,76,15,16.67
48,Mataura,NZ,2021-12-04 15:53:09,-46.1927,168.8643,58.48,96,53,3.56
49,Saint George,US,2021-12-04 15:52:58,37.1041,-113.5841,55.35,55,1,0.0
50,Kapaa,US,2021-12-04 15:53:10,22.0752,-159.319,66.18,59,83,8.43
51,Iqaluit,CA,2021-12-04 15:50:58,63.7506,-68.5145,2.93,77,90,21.0
52,Kavieng,PG,2021-12-04 15:53:11,-2.5744,150.7967,82.51,80,52,13.58
53,Khatanga,RU,2021-12-04 15:53:11,71.9667,102.5,-20.63,98,100,7.56
54,Airai,TL,2021-12-04 15:53:11,-8.9266,125.4092,62.24,93,100,1.74
55,Pacific Grove,US,2021-12-04 15:51:40,36.6177,-121.9166,53.42,82,12,1.99
56,Cianjur,ID,2021-12-04 15:53:12,-6.8224,107.1393,72.18,96,100,1.63
57,Sheridan,US,2021-12-04 15:53:12,44.8333,-106.9173,33.98,86,86,1.99
58,Dikson,RU,2021-12-04 15:53:13,73.5069,80.5464,-24.32,100,71,2.64
59,Jamestown,US,2021-12-04 15:51:35,42.097,-79.2353,40.32,90,90,11.99
60,Vuktyl,RU,2021-12-04 15:53:13,63.8567,57.3094,4.75,76,100,11.23
61,Sept-Iles,CA,2021-12-04 15:53:14,50.2001,-66.3821,22.05,66,40,8.99
62,Port Alfred,ZA,2021-12-04 15:53:14,-33.5906,26.891,68.13,93,100,21.32
63,Portree,GB,2021-12-04 15:53:14,57.4129,-6.1942,43.86,83,75,13.02
64,Dingle,PH,2021-12-04 15:53:15,10.9995,122.6711,72.0,90,86,8.41
65,Yumen,CN,2021-12-04 15:53:15,40.2833,97.2,30.24,31,79,8.34
66,Puerto Ayora,EC,2021-12-04 15:53:15,-0.7393,-90.3518,73.36,82,90,7.96
67,Chuy,UY,2021-12-04 15:53:16,-33.6971,-53.4616,72.46,60,100,11.99
68,Pirovskoye,RU,2021-12-04 15:53:16,57.6267,92.2658,22.12,88,100,14.34
69,Aklavik,CA,2021-12-04 15:53:17,68.2191,-135.0107,-15.77,68,1,5.75
70,Laguna,US,2021-12-04 15:53:17,38.421,-121.4238,54.1,97,90,0.0
71,Hithadhoo,MV,2021-12-04 15:53:18,-0.6,73.0833,82.44,76,95,13.8
72,Mogadishu,SO,2021-12-04 15:53:18,2.0371,45.3438,80.55,73,1,18.3
73,Hualmay,PE,2021-12-04 15:53:18,-11.0964,-77.6139,71.38,74,83,9.24
74,Mahebourg,MU,2021-12-04 15:53:19,-20.4081,57.7,80.89,74,20,6.91
75,Jiuquan,CN,2021-12-04 15:50:12,39.7432,98.5174,30.69,25,13,1.07
76,Akhtubinsk,RU,2021-12-04 15:53:19,48.2795,46.1722,46.26,82,94,15.41
77,Sassandra,CI,2021-12-04 15:53:20,4.95,-6.0833,83.73,69,44,8.12
78,Bluff,NZ,2021-12-04 15:53:20,-46.6,168.3333,58.8,94,42,1.5
79,Ahuimanu,US,2021-12-04 15:53:20,21.4447,-157.8378,65.91,72,40,4.61
80,Cherskiy,RU,2021-12-04 15:53:21,68.75,161.3,-18.56,99,100,7.87
81,Tual,ID,2021-12-04 15:53:21,-5.6667,132.75,83.61,77,100,14.0
82,Komsomolskiy,UZ,2021-12-04 15:53:22,40.4272,71.7189,43.52,61,100,2.3
83,Ixtapa,MX,2021-12-04 15:53:22,20.7,-105.2,77.23,78,37,2.1
84,Green River,US,2021-12-04 15:53:22,41.5286,-109.4662,32.4,46,2,4.38
85,Gazanjyk,TM,2021-12-04 15:53:23,39.2446,55.5154,45.18,74,0,10.0
86,Severo-Kurilsk,RU,2021-12-04 15:53:23,50.6789,156.125,32.43,88,92,32.01
87,Astaneh-Ye Ashrafiyeh,IR,2021-12-04 15:53:23,37.2596,49.9444,48.13,81,69,3.4
88,East London,ZA,2021-12-04 15:53:24,-33.0153,27.9116,65.34,100,90,14.97
89,Sydney Mines,CA,2021-12-04 15:53:24,46.2367,-60.2177,30.43,81,75,14.0
90,West Wendover,US,2021-12-04 15:52:58,40.7391,-114.0733,42.62,61,0,1.95
91,Log,RU,2021-12-04 15:53:25,49.4844,43.8613,38.57,93,100,10.67
92,Bredasdorp,ZA,2021-12-04 15:53:25,-34.5322,20.0403,66.27,67,99,18.77
93,Lompoc,US,2021-12-04 15:53:25,34.6391,-120.4579,54.25,85,90,3.44
94,Powell River,CA,2021-12-04 15:53:26,49.8496,-124.5361,37.0,100,90,0.0
95,Prabumulih,ID,2021-12-04 15:53:26,-3.45,104.25,74.3,95,100,3.83
96,Sete,FR,2021-12-04 15:51:42,43.4018,3.6966,57.24,65,97,25.32
97,Nikolskoye,RU,2021-12-04 15:53:27,59.7035,30.7861,19.02,95,100,4.7
98,Avera,US,2021-12-04 15:53:27,33.194,-82.5271,65.71,60,86,9.17
99,Tilichiki,RU,2021-12-04 15:53:27,60.4667,166.1,18.28,95,100,10.29
100,Petrov Val,RU,2021-12-04 15:53:28,50.1434,45.2096,39.58,93,100,5.95
101,Lebu,CL,2021-12-04 15:53:28,-37.6167,-73.65,60.26,62,0,20.69
102,Temir,KZ,2021-12-04 15:53:29,49.1414,57.13,29.82,85,99,7.31
103,Sao Borja,BR,2021-12-04 15:53:29,-28.6606,-56.0044,87.94,31,99,3.11
104,Gidam,IN,2021-12-04 15:53:29,18.9833,81.4,65.77,92,100,3.36
105,Alexandria,EG,2021-12-04 15:50:12,31.2156,29.9553,64.94,72,40,4.61
106,Fortuna,US,2021-12-04 15:53:30,40.5982,-124.1573,49.32,76,90,1.99
107,Ostroleka,PL,2021-12-04 15:53:51,53.0862,21.5757,33.93,79,96,6.2
108,Luderitz,NA,2021-12-04 15:53:52,-26.6481,15.1594,65.55,73,1,10.16
109,Neyshabur,IR,2021-12-04 15:53:52,36.2133,58.7958,43.27,67,60,3.85
110,Sulangan,PH,2021-12-04 15:53:53,11.1373,123.7228,80.22,75,35,21.05
111,Rio Gallegos,AR,2021-12-04 15:53:53,-51.6226,-69.2181,68.05,32,75,10.36
112,Katsuura,JP,2021-12-04 15:53:53,35.1333,140.3,51.82,60,0,18.05
113,Naze,JP,2021-12-04 15:53:54,28.3667,129.4833,57.94,61,52,15.61
114,Korcula,HR,2021-12-04 15:53:54,42.9622,17.1369,50.56,45,93,0.58
115,Oran,DZ,2021-12-04 15:53:55,35.6911,-0.6417,60.73,55,0,17.27
116,Marsa Matruh,EG,2021-12-04 15:53:55,31.3525,27.2453,66.4,48,0,12.66
117,Lavrentiya,RU,2021-12-04 15:53:56,65.5833,-171.0,1.24,92,67,7.76
118,Grand Island,US,2021-12-04 15:53:56,40.925,-98.342,34.75,92,90,3.0
119,Okhotsk,RU,2021-12-04 15:53:56,59.3833,143.3,-23.06,90,47,14.45
120,Victoria Point,AU,2021-12-04 15:53:57,-27.5833,153.3,69.15,96,83,1.99
121,Hilo,US,2021-12-04 15:53:58,19.7297,-155.09,73.27,98,100,1.99
122,Aberystwyth,GB,2021-12-04 15:53:58,52.4155,-4.0829,45.72,69,70,25.93
123,Asau,RO,2021-12-04 15:53:59,46.4333,26.4,31.95,73,48,3.4
124,Fomboni,KM,2021-12-04 15:54:00,-12.28,43.7425,82.53,71,11,6.26
125,Bambous Virieux,MU,2021-12-04 15:54:00,-20.3428,57.7575,80.85,74,20,6.91
126,Berlevag,NO,2021-12-04 15:54:00,70.8578,29.0864,18.16,82,20,19.17
127,Souillac,MU,2021-12-04 15:54:01,-20.5167,57.5167,80.98,74,20,6.91
128,Kiunga,PG,2021-12-04 15:54:02,-6.1219,141.2906,73.42,100,93,2.39
129,Natal,BR,2021-12-04 15:53:09,-5.795,-35.2094,88.02,66,75,18.41
130,Dunedin,NZ,2021-12-04 15:54:02,-45.8742,170.5036,54.81,66,100,3.0
131,Tiksi,RU,2021-12-04 15:54:03,71.6872,128.8694,-20.7,95,100,3.36
132,Impfondo,CG,2021-12-04 15:54:03,1.6381,18.0667,84.22,66,99,4.85
133,Ponta Delgada,PT,2021-12-04 15:54:04,37.7333,-25.6667,66.92,63,40,8.05
134,Poddorye,RU,2021-12-04 15:54:05,57.4695,31.1156,10.74,99,84,2.68
135,Port Elizabeth,ZA,2021-12-04 15:54:05,-33.918,25.5701,65.1,89,100,18.88
136,Coihaique,CL,2021-12-04 15:53:07,-45.5752,-72.0662,66.81,34,0,5.75
137,Mapiripan,CO,2021-12-04 15:54:06,2.8892,-72.1256,86.2,59,86,8.39
138,Gladstone,AU,2021-12-04 15:54:06,-23.85,151.25,76.93,83,90,4.61
139,Jasper,US,2021-12-04 15:54:07,37.2001,-94.3502,56.35,57,90,1.99
140,Georgetown,MY,2021-12-04 15:54:08,5.4112,100.3354,81.9,81,20,5.01
141,Moindou,NC,2021-12-04 15:54:08,-21.6924,165.677,71.55,82,64,3.02
142,Aswan,EG,2021-12-04 15:54:09,24.0934,32.907,81.7,29,0,5.75
143,Tukrah,LY,2021-12-04 15:54:09,32.5341,20.5791,61.34,60,49,20.69
144,Masunga,BW,2021-12-04 15:54:10,-20.6246,27.4488,88.27,24,77,5.77
145,San Patricio,US,2021-12-04 15:54:10,28.017,-97.5169,76.98,73,2,12.12
146,Carnarvon,AU,2021-12-04 15:54:11,-24.8667,113.6333,73.47,83,0,9.22
147,Gornozavodsk,RU,2021-12-04 15:54:11,58.3758,58.3211,33.31,97,100,15.23
148,Mecca,SA,2021-12-04 15:51:54,21.4267,39.8261,77.9,58,0,8.01
149,Bethel,US,2021-12-04 15:54:13,41.3712,-73.414,45.48,63,98,1.01
150,Atuona,PF,2021-12-04 15:54:13,-9.8,-139.0333,78.33,74,30,20.67
151,Omboue,GA,2021-12-04 15:54:14,-1.5746,9.2618,81.3,81,96,11.03
152,Haines Junction,CA,2021-12-04 15:54:15,60.7522,-137.5108,-25.65,75,77,1.14
153,Xining,CN,2021-12-04 15:53:52,36.6167,101.7667,27.61,31,0,2.84
154,Saldanha,ZA,2021-12-04 15:54:15,-33.0117,17.9442,66.25,85,100,3.31
155,Sioux Lookout,CA,2021-12-04 15:54:16,50.1001,-91.917,8.98,85,90,9.22
156,Ilulissat,GL,2021-12-04 15:53:14,69.2167,-51.1,36.97,55,100,29.91
157,New Norfolk,AU,2021-12-04 15:54:17,-42.7826,147.0587,44.1,59,79,2.55
158,Camacha,PT,2021-12-04 15:54:17,33.0833,-16.3333,63.82,59,40,13.8
159,Axim,GH,2021-12-04 15:54:18,4.8699,-2.2405,84.6,69,51,9.98
160,Kodiak,US,2021-12-04 15:54:18,57.79,-152.4072,22.96,70,97,4.25
161,Tuatapere,NZ,2021-12-04 15:54:19,-46.1333,167.6833,58.82,95,89,2.73
162,Cape Girardeau,US,2021-12-04 15:54:19,37.3834,-89.7168,50.02,67,96,8.99
163,Lagoa,PT,2021-12-04 15:54:20,39.05,-27.9833,63.84,84,25,12.95
164,Yakeshi,CN,2021-12-04 15:54:20,49.2833,120.7333,6.4,94,21,4.99
165,Thompson,CA,2021-12-04 15:50:25,55.7435,-97.8558,-14.64,76,75,3.44
166,Sigulda,LV,2021-12-04 15:54:20,57.1519,24.8647,25.52,96,100,1.01
167,Sribne,UA,2021-12-04 15:54:21,50.6638,32.9187,29.73,83,8,4.45
168,Kruisfontein,ZA,2021-12-04 15:54:21,-34.0033,24.7314,62.89,93,100,14.07
169,Namatanai,PG,2021-12-04 15:54:21,-3.6667,152.4333,80.37,84,58,7.18
170,Goderich,CA,2021-12-04 15:54:22,43.7501,-81.7165,38.91,70,70,19.57
171,Darhan,MN,2021-12-04 15:54:22,49.4867,105.9228,15.37,89,99,1.68
172,Trinidad,BO,2021-12-04 15:54:23,-14.8333,-64.9,87.78,70,20,11.5
173,Isfana,KG,2021-12-04 15:54:23,39.8386,69.5306,34.36,44,98,2.48
174,Nelson Bay,AU,2021-12-04 15:54:23,-32.7167,152.15,68.0,74,98,4.0
175,Pevek,RU,2021-12-04 15:54:24,69.7008,170.3133,-11.27,94,100,10.98
176,Longyearbyen,SJ,2021-12-04 15:49:52,78.2186,15.6401,24.64,80,75,24.16
177,Plettenberg Bay,ZA,2021-12-04 15:54:24,-34.0527,23.3716,63.95,89,99,17.0
178,Kintinku,TZ,2021-12-04 15:54:25,-5.8833,35.2333,78.37,37,80,12.48
179,Omsukchan,RU,2021-12-04 15:54:25,62.5333,155.8,-32.58,94,16,3.8
180,Olutanga,PH,2021-12-04 15:54:25,7.3106,122.8464,80.62,77,47,7.49
181,Westport,US,2021-12-04 15:54:26,41.1415,-73.3579,47.03,58,99,1.01
182,Nome,US,2021-12-04 15:54:26,64.5011,-165.4064,-1.37,100,95,4.65
183,Galesong,ID,2021-12-04 15:54:26,-5.3166,119.3661,77.02,79,100,5.77
184,Karoi,ZW,2021-12-04 15:54:27,-16.8099,29.6925,86.29,23,13,10.11
185,Nimes,FR,2021-12-04 15:54:27,43.8333,4.35,56.59,93,0,3.44
186,Portland,US,2021-12-04 15:49:42,45.5234,-122.6762,44.62,94,90,4.0
187,Carbonia,IT,2021-12-04 15:54:28,39.1672,8.5222,58.15,81,76,15.35
188,Ambunti,PG,2021-12-04 15:54:28,-4.2365,142.8448,74.86,98,100,4.7
189,Alofi,NU,2021-12-04 15:54:29,-19.0595,-169.9187,75.09,94,100,4.61
190,Warkworth,NZ,2021-12-04 15:54:29,-36.4,174.6667,66.49,91,100,12.19
